uid,frequency,intensity
475,1463.1268,13.7729
475,1522.3825,17.9216
475,1584.8268,28.3177
475,1602.8837,9.9189
475,1629.497,7.6868
475,1646.5965,102.118
475,3042.1054,17.2455
475,3048.4804,1.6115
475,3056.2017,10.1776
475,3058.1267,6.5444
475,3069.3243,34.0549
475,3073.3241,40.0359
475,3079.771,22.2143
475,3395.1666,5.6147
475,3484.9505,7.3396
473,119.5443,2.9335
473,179.8202,1.1232
473,274.8358,5.3055
473,287.6839,5.8832
473,295.7583,21.4966
473,399.469,1.5901
473,413.5594,0.8752
473,455.4172,3.981
473,473.574,13.5894
473,519.3094,0.9375
473,527.8864,30.3659
473,603.3931,315.9997
473,625.2778,7.1809
473,650.8514,88.6112
473,720.0499,8.4875
473,745.8731,17.1125
473,754.559,1.2291
473,767.0342,0.0703
473,804.7235,23.5626
473,832.1913,57.7357
473,864.5803,3.3291
473,896.1489,0.8503
473,923.4141,1.0828
473,935.4006,1.8461
473,954.0159,3.1664
473,962.174,0.026
473,1029.4539,2.3901
473,1093.3017,0.0473
473,1120.2931,3.8258
473,1149.4612,8.1782
473,1153.649,1.0771
473,1184.3023,18.9672
473,1224.4294,17.0121
473,1258.12,4.9092
473,1285.2448,49.1018
473,1368.1478,2.7693
473,1377.5065,1.5243
473,1387.0551,20.1474
473,1454.0802,3.7434
473,1478.2048,19.7729
473,1521.8199,37.7966
473,1578.1883,1.3418
473,1613.9462,14.391
473,1633.9212,15.6791
473,1646.6279,192.583
473,3038.8367,16.0207
473,3042.9343,5.9861
473,3044.7238,16.0151
473,3048.6247,0.2554
473,3061.3783,15.9164
473,3062.7113,51.3832
473,3076.447,32.0338
473,3403.6253,14.71
473,3498.1736,7.6307
424,66.0492,10.1023
424,119.1976,0.0087
424,161.3712,2.1822
424,178.4544,0.2541
424,263.7756,1.057
424,363.6731,6.4725
424,386.3641,1.6555
424,401.0286,10.5102
424,430.5686,1.4565
424,464.9124,0.2499
424,529.1824,3.4818
424,542.9668,15.2161
424,579.9336,2.8167
424,612.0565,1.0111
424,684.0734,0.9439
424,719.1268,28.9687
424,744.398,0.8209
424,769.8174,2.1934
424,783.5614,26.4408
424,827.9912,0.8655
424,899.6248,0.0011
424,958.5549,41.3493
424,974.1545,1.5475
424,993.3102,0.0082
424,1014.5125,10.1858
424,1035.3965,1.4826
424,1043.3414,0.4391
424,1075.752,10.5214
424,1100.2202,0.6431
424,1139.1104,2.5682
424,1155.2181,17.8893
424,1185.5196,106.02
424,1214.73,2.9526
424,1268.3172,11.4062
424,1276.2588,190.33
424,1297.2192,20.3189
424,1331.8624,2.3087
424,1334.4781,4.6557
424,1446.4383,6.3995
424,1449.9818,2.5018
424,1450.8218,11.6208
424,1470.122,0.0181
424,1576.1929,0.0658
424,1597.1009,52.7078
424,1730.9806,18.2787
424,1733.1476,327.6306
424,2906.8666,0.0885
424,2916.1951,17.8541
424,2996.962,17.4648
424,2997.0619,8.3695
424,3063.4015,3.7175
424,3077.3668,14.4519
424,3093.4601,1.5861
424,3095.7384,10.7208
422,112.972,1.5245
422,144.7842,0.7014
422,241.2363,2.3911
422,256.4631,1.9749
422,299.9131,1.589
422,359.2276,9.5687
422,361.7591,141.818
422,381.9197,96.1446
422,426.7525,0.4115
422,455.7461,13.3253
422,474.6865,6.6802
422,511.111,3.2795
422,514.4399,0.0225
422,576.81,0.5864
422,608.984,1.776
422,637.355,0.0446
422,705.1389,7.1872
422,726.1006,0.4329
422,734.7514,14.8255
422,764.4954,19.901
422,811.1564,34.5744
422,822.9829,22.0613
422,841.4908,18.3631
422,841.8299,12.4739
422,935.7336,0.5965
422,949.9241,0.1548
422,956.6019,5.5981
422,1045.6893,54.5133
422,1084.8086,13.1374
422,1132.7445,21.4572
422,1154.8861,62.2718
422,1170.9638,7.5053
422,1178.1065,228.5356
422,1212.4804,94.1705
422,1235.1688,13.8961
422,1278.9313,64.5143
422,1290.4375,8.8392
422,1373.8794,0.5178
422,1383.7909,68.9828
422,1394.042,111.3077
422,1467.0299,11.4617
422,1474.1331,33.9672
422,1535.7351,13.773
422,1590.4448,67.6763
422,1613.6543,70.3687
422,1637.6298,130.4293
422,3035.0509,21.1766
422,3040.5839,15.8184
422,3056.357,13.6902
422,3074.0397,28.3717
422,3082.3949,2.9431
422,3100.2584,6.1811
422,3595.0375,42.8936
422,3601.8861,47.2638
420,106.3835,0.1112
420,170.5845,8.2147
420,224.7571,0.0
420,252.7032,11.0515
420,279.8913,28.9706
420,350.6577,0.0
420,356.1734,0.0
420,367.6241,202.17
420,455.7365,0.0
420,465.2645,0.0
420,514.4783,0.0
420,515.8284,0.0
420,522.8056,2.6494
420,546.2452,8.7242
420,589.0283,0.2546
420,651.8878,0.0
420,666.3617,1.0864
420,721.9262,0.0
420,770.7158,104.23
420,775.7966,25.514
420,803.454,0.0
420,846.112,0.3531
420,849.5902,0.0
420,861.9737,0.0
420,936.5954,109.8005
420,940.668,1.0753
420,941.7625,0.0
420,1071.5172,18.3719
420,1077.0826,0.0
420,1126.3947,0.0
420,1153.4236,73.6081
420,1162.6804,0.0
420,1188.6038,107.3282
420,1225.966,22.8589
420,1235.033,0.0
420,1261.8908,0.0
420,1279.6205,179.6941
420,1377.4427,161.9622
420,1377.448,0.3115
420,1420.2059,69.5141
420,1453.1686,0.0
420,1472.3403,0.0
420,1530.0598,75.1043
420,1589.9107,0.0
420,1606.6203,91.9385
420,1637.8383,0.0
420,3037.1861,47.0174
420,3037.5683,0.0
420,3068.0072,36.5435
420,3068.1686,0.0
420,3104.6286,11.9804
420,3104.6499,0.0002
420,3601.9467,92.9304
420,3602.0144,0.0005
418,133.3244,1.8512
418,142.7588,0.0
418,191.9098,12.8811
418,259.8972,9.7004
418,317.2964,0.0
418,324.9939,225.9169
418,329.1031,0.3498
418,384.2505,0.0
418,423.0435,0.4502
418,454.5659,0.8674
418,462.7058,0.0
418,479.7065,0.2239
418,546.5312,0.2291
418,559.3458,16.6007
418,611.3614,0.8304
418,620.7774,0.0
418,706.8029,1.9922
418,740.3091,39.5696
418,768.6726,73.8405
418,768.8429,0.0001
418,782.733,22.8478
418,798.6631,0.2469
418,841.2086,0.0
418,869.1027,0.0
418,944.8865,1.1459
418,973.9159,0.0
418,1021.8871,23.9808
418,1044.1686,1.2743
418,1057.8705,94.3677
418,1139.7268,37.0437
418,1145.9055,3.0128
418,1150.929,2.044
418,1192.7635,0.0737
418,1210.3918,101.2513
418,1243.8456,121.0823
418,1259.6198,0.0016
418,1281.5158,240.0509
418,1357.7074,1.0264
418,1399.8177,27.5346
418,1414.09,13.2473
418,1455.8964,4.7081
418,1475.0518,58.0168
418,1527.7365,0.0019
418,1598.9951,1.6375
418,1606.6097,81.1688
418,1639.1382,29.438
418,3037.1893,27.2693
418,3052.2533,21.2572
418,3056.1158,7.5384
